Governador,Capital,Gentílico,Área Territorial,População residente,Densidade demográfica,Matrículas no ensino fundamental,IDH Índice de desenvolvimento humano,Total de receitas brutas realizadas,Total de despesas brutas empenhadas,Rendimento mensal domiciliar per capita,Total de veículos,Estado
GLADSON DE LIMA CAMELI   ,Rio Branco   ,acriano,164173.429,830018,5.06,147350,0.71,11137410342.21,10302403420.85,1095,350273,AC
PAULO SURUAGY DO AMARAL DANTAS   ,Maceió   ,alagoano,27830.661,3127683,112.38,439014,0.684,20927817222.51,17963587096.92,1110,1095144,AL
CLÉCIO LUÍS VILHENA VIEIRA   ,Macapá   ,amapaense,142470.762,733759,5.15,131948,0.688,11249572238.02,8505172844.49,1520,242574,AP
WILSON MIRANDA LIMA   ,Manaus   ,amazonense,1559255.881,3941613,2.53,692623,0.7,33030751885.07,30029370828.75,1172,1130055,AM
JERÔNIMO RODRIGUES SOUZA   ,Salvador   ,baiano,564760.429,14141626,25.04,1865574,0.691,80290524858.16,77868037416.52,1139,5120353,BA
ELMANO DE FREITAS DA COSTA   ,Fortaleza   ,cearense,148894.447,8794957,59.07,1134636,0.734,46124793433.02,37423640356.93,1166,3753826,CE
IBANEIS ROCHA BARROS JÚNIOR   ,Brasília   ,brasiliense,5760.784,2817381,489.06,361438,0.814,36479338564.35,33897143557.68,3357,2083081,DF
JOSÉ RENATO CASAGRANDE   ,Vitória   ,capixaba ou espírito-santense,46074.448,3833712,83.21,498357,0.771,34291544903.51,25098719258.87,1915,2357061,ES
RONALDO RAMOS CAIADO   ,Goiânia   ,goiano,340242.859,7056495,20.74,868222,0.737,57825598739.32,39420594475.73,2017,4726950,GO
CARLOS ORLEANS BRANDÃO JÚNIOR   ,São Luís   ,maranhense,329651.496,6776699,20.56,1045700,0.676,31379701580.17,24496014978.83,945,2132527,MA
MAURO MENDES FERREIRA   ,Cuiabá   ,mato-grossense,903208.361,3658649,4.05,507089,0.736,54372352372.25,37014020738.27,1991,2695548,MT
EDUARDO CORREA RIEDEL   ,Campo Grande   ,sul-mato-grossense ou mato-grossense-do-sul,357142.082,2757013,7.72,393616,0.742,33155489102.0,24358822183.06,2030,1893634,MS
ROMEU ZEMA NETO   ,Belo Horizonte   ,mineiro,586513.983,20539989,35.02,2343279,0.774,138168422501.96,110408991645.56,1918,13481706,MG
HELDER ZAHLUTH BARBALHO   ,Belém   ,paraense,1245870.704,8120131,6.52,1331723,0.69,52747856526.44,43981234831.53,1282,2627090,PA
JOÃO AZEVEDO LINS FILHO   ,João Pessoa   ,paraibano,56467.242,3974687,70.39,523996,0.698,23462797714.09,17883420827.99,1320,1593744,PB
CARLOS ROBERTO MASSA JUNIOR   ,Curitiba   ,paranaense,199298.981,11444380,57.42,1365869,0.769,92067885773.5,67607620659.63,2115,8838800,PR
RAQUEL TEIXEIRA LYRA LUCENA   ,Recife   ,pernambucano,98067.877,9058931,92.37,1229419,0.719,53294049711.5,48872197159.8,1113,3568386,PE
RAFAEL TAJRA FONTELES   ,Teresina   ,piauiense,251755.481,3271199,12.99,439111,0.69,22928941802.89,20000924386.53,1342,1449658,PI
CLÁUDIO BOMFIM DE CASTRO E SILVA   ,Rio de Janeiro   ,fluminense,43750.425,16055174,366.97,1945098,0.762,121957245523.51,102289960365.4,2367,7705012,RJ
MARIA DE FATIMA BEZERRA   ,Natal   ,potiguar. norte-rio-grandense. rio-grandense-do-norte,52809.599,3302729,62.54,437133,0.728,22703397803.27,19486967053.93,1373,1554064,RN
EDUARDO FIGUEIREDO CAVALHEIRO LEITE   ,Porto Alegre   ,gaúcho ou sul-rio-grandense,281707.151,10882965,38.63,1255794,0.771,88012101405.33,78352533473.39,2304,8075318,RS
MARCOS JOSÉ ROCHA DOS SANTOS   ,Porto Velho   ,rondoniense ou rondoniano,237754.172,1581196,6.65,227246,0.7,17855762489.37,13605769496.55,1527,1197221,RO
ANTONIO OLIVERIO GARCIA DE ALMEIDA   ,Boa Vista   ,roraimense,223644.53,636707,2.85,111096,0.699,8846153006.77,7473220866.93,1425,275703,RR
JORGINHO DOS SANTOS MELLO   ,Florianópolis   ,catarinense ou barriga-verde,95730.69,7610361,79.5,941272,0.792,61440241790.39,43927295658.78,2269,6189405,SC
TARCISIO GOMES DE FREITAS   ,São Paulo   ,paulista,248219.485,44411238,178.92,5343271,0.806,343634435413.4,328315580393.5,2492,33264096,SP
FÁBIO CRUZ MITIDIERI   ,Aracaju   ,sergipano ou sergipense,21938.188,2210004,100.74,305930,0.702,17151927623.32,13470989190.76,1218,951523,SE
WANDERLEI BARBOSA CASTRO   ,Palmas   ,tocantinense,277423.627,1511460,5.45,222404,0.731,20836869522.78,15873514926.43,1581,874905,TO
